,weekly,monthly,quarterly,yearly,mape,rmse
0,1,1,1,1,0.8431630578751009,0.9182391071366439
1,1,1,1,2,0.794083284848464,0.891113508397479
2,1,1,1,3,0.7837394659326038,0.8852906110044338
3,1,1,1,4,0.7832591691552806,0.885019304396961
4,1,1,1,5,0.7751722209565547,0.8804386525798119
5,1,1,1,6,0.7439426442323153,0.8625210978476499
6,1,1,1,7,0.7193588594825141,0.8481502576091775
7,1,1,1,8,0.7268348332668614,0.8525460886467437
8,1,1,1,9,0.7224185882444235,0.8499521093828896
9,1,1,1,10,0.7602816829791149,0.8719413300097174
10,1,1,2,1,0.8256522793192005,0.9086541032313674
11,1,1,2,2,0.781931429680935,0.8842688673027763
12,1,1,2,3,0.7745368077340933,0.8800777282343266
13,1,1,2,4,0.7752459976391199,0.8804805492679096
14,1,1,2,5,0.7666775835988858,0.8756012697563234
15,1,1,2,6,0.7341185449191253,0.8568071807116963
16,1,1,2,7,0.7250838703471354,0.8515185672356976
17,1,1,2,8,0.7239707255228245,0.8508646928406564
18,1,1,2,9,0.7221139764335129,0.8497728969751347
19,1,1,2,10,0.7596290168596898,0.8715669893127491
20,1,1,3,1,0.8065520721448678,0.8980824417306397
21,1,1,3,2,0.7652091678682745,0.8747623493659719
22,1,1,3,3,0.7578071381393848,0.8705211876453007
23,1,1,3,4,0.7595377782873158,0.8715146460543941
24,1,1,3,5,0.7519097295699583,0.8671272856795352
25,1,1,3,6,0.7213910204651949,0.849347408582139
26,1,1,3,7,0.7204417368153266,0.8487883934263749
27,1,1,3,8,0.7140758488971447,0.8450300875691614
28,1,1,3,9,0.7115167798063906,0.8435145403645338
29,1,1,3,10,0.748290234197313,0.865037706806653
30,1,1,4,1,0.8092400811262883,0.8995777237828249
31,1,1,4,2,0.7649175284629486,0.8745956371163468
32,1,1,4,3,0.7586310825953528,0.87099430686736
33,1,1,4,4,0.7599204522765765,0.8717341637658675
34,1,1,4,5,0.7518649582358824,0.8671014694001403
35,1,1,4,6,0.7204064359784552,0.8487675983321084
36,1,1,4,7,0.7123522632002514,0.8440096345423146
37,1,1,4,8,0.7165906027410822,0.846516746875738
38,1,1,4,9,0.7102698549586703,0.8427750915627907
39,1,1,4,10,0.7482878664551712,0.8650363382281528
40,1,1,5,1,0.8400801588899852,0.9165588682075938
41,1,1,5,2,0.8023090136775237,0.8957170388451499
42,1,1,5,3,0.7927249521775067,0.8903510275040439
43,1,1,5,4,0.7919817118525583,0.8899335435034227
44,1,1,5,5,0.7841951252270569,0.8855479237325651
45,1,1,5,6,0.7530100540057676,0.8677615190856112
46,1,1,5,7,0.7428362517854162,0.8618794879711527
47,1,1,5,8,0.7431879122972692,0.8620834717689867
48,1,1,5,9,0.7415604903201081,0.8611390656102579
49,1,1,5,10,0.7813030675721542,0.883913495525526
50,1,1,6,1,0.8536764365552683,0.9239461221062991
51,1,1,6,2,0.8027176407703283,0.8959451103557228
52,1,1,6,3,0.7964887744741499,0.8924621977843935
53,1,1,6,4,0.7966344938537162,0.8925438330153406
54,1,1,6,5,0.7900153422234556,0.8888280723646478
55,1,1,6,6,0.7568226028446423,0.8699555177390637
56,1,1,6,7,0.7489567806840244,0.8654228912410535
57,1,1,6,8,0.7492520422110401,0.8655934624354785
58,1,1,6,9,0.7441785692473065,0.862657851785577
59,1,1,6,10,0.7847403210270308,0.8858556998896777
60,1,1,7,1,0.8551368946652549,0.9247361216397113
61,1,1,7,2,0.8046155259509135,0.897003637646422
62,1,1,7,3,0.7959534690942248,0.8921622437058323
63,1,1,7,4,0.7962118391850554,0.8923070319038483
64,1,1,7,5,0.7891697317899354,0.8883522565907824
65,1,1,7,6,0.7573486014928675,0.8702577787603323
66,1,1,7,7,0.7482743077878323,0.8650285011419174
67,1,1,7,8,0.7489018863497388,0.8653911753361822
68,1,1,7,9,0.7467451110053911,0.8641441494365342
69,1,1,7,10,0.7837154514348249,0.8852770478414229
70,1,1,8,1,0.8346764356959958,0.9136062804600217
71,1,1,8,2,0.7948799545837852,0.8915604043382508
72,1,1,8,3,0.7840869069541826,0.8854868191871534
73,1,1,8,4,0.7837740633544801,0.8853101509383478
74,1,1,8,5,0.7773714212868496,0.8816866911136004
75,1,1,8,6,0.7452958438843112,0.8633051858319347
76,1,1,8,7,0.7372256923945907,0.8586184789501042
77,1,1,8,8,0.7369403760422772,0.8584523143671273
78,1,1,8,9,0.7357882815086826,0.8577810218865201
79,1,1,8,10,0.7715851657459839,0.878399206366891
80,1,1,9,1,0.8555634026478491,0.9249667035346998
81,1,1,9,2,0.8030185441817951,0.8961130197591123
82,1,1,9,3,0.7946131725561604,0.8914107765537505
83,1,1,9,4,0.7943979056040772,0.8912900232831495
84,1,1,9,5,0.786638664009941,0.886926526838577
85,1,1,9,6,0.7556255613989374,0.8692672554507833
86,1,1,9,7,0.7468985212605792,0.8642329091515661
87,1,1,9,8,0.748790546502011,0.8653268437428779
88,1,1,9,9,0.7466146107467896,0.8640686377521114
89,1,1,9,10,0.7831510014555472,0.8849581919252159
90,1,1,10,1,0.8574903792188125,0.9260077641244767
91,1,1,10,2,0.8019430742592016,0.8955127437726398
92,1,1,10,3,0.7921994134512472,0.8900558485012315
93,1,1,10,4,0.7929001836992129,0.8904494279290728
94,1,1,10,5,0.7857265202441878,0.8864121616066579
95,1,1,10,6,0.7529492123833963,0.8677264617282316
96,1,1,10,7,0.7449448980697854,0.8631019048002301
97,1,1,10,8,0.7455553238325207,0.8634554556157027
98,1,1,10,9,0.7420080548578034,0.8613988941586839
99,1,1,10,10,0.7818383561000223,0.8842162383150528
100,1,2,1,1,0.841998623366522,0.9176048296333896
101,1,2,1,2,0.798653728645018,0.8936742855453647
102,1,2,1,3,0.7922555679777528,0.8900873934495156
103,1,2,1,4,0.7914560289252199,0.8896381449360296
104,1,2,1,5,0.7832149425312839,0.8849943177960432
105,1,2,1,6,0.7505674551342751,0.8663529622124433
106,1,2,1,7,0.7266694881780518,0.8524491117820768
107,1,2,1,8,0.7321732235856488,0.8556712123156002
108,1,2,1,9,0.7311206401980932,0.8550559281111927
109,1,2,1,10,0.7675799892696941,0.8761164244948807
110,1,2,2,1,0.8313660963435009,0.9117927924388857
111,1,2,2,2,0.7887997721552065,0.8881440041768038
112,1,2,2,3,0.7848006636375225,0.885889758173963
113,1,2,2,4,0.784020768808719,0.8854494727587334
114,1,2,2,5,0.7745144769761163,0.8800650413328076
115,1,2,2,6,0.7413971148471623,0.8610442002865836
116,1,2,2,7,0.7362543360324155,0.8580526417606413
117,1,2,2,8,0.7351373421466231,0.8574015057991344
118,1,2,2,9,0.7326381784188399,0.8559428593187982
119,1,2,2,10,0.7678294302236273,0.8762587689852965
120,1,2,3,1,0.8216928645324265,0.9064727599505826
121,1,2,3,2,0.7704278922446673,0.8777402191107956
122,1,2,3,3,0.7686716289259153,0.8767392023434992
123,1,2,3,4,0.7677566569642545,0.8762172430192495
124,1,2,3,5,0.7596383136683575,0.8715723226837562
125,1,2,3,6,0.7289551020855802,0.8537886753088145
126,1,2,3,7,0.7219898141614461,0.8496998376847239
127,1,2,3,8,0.7223901226364077,0.8499353637991583
128,1,2,3,9,0.7189960530471169,0.84793634964372
129,1,2,3,10,0.7549018938215178,0.8688509042531508
130,1,2,4,1,0.8254226492596775,0.9085277371988582
131,1,2,4,2,0.770981422020944,0.8780554777580651
132,1,2,4,3,0.7682684280970061,0.8765092287574651
133,1,2,4,4,0.7683464488644312,0.8765537341569147
134,1,2,4,5,0.7605772858827287,0.8721108220190417
135,1,2,4,6,0.7284449296591836,0.8534898532842576
136,1,2,4,7,0.7225063580992632,0.8500037400501619
137,1,2,4,8,0.7236410669087824,0.8506709510197127
138,1,2,4,9,0.7201968962434203,0.8486441517169728
139,1,2,4,10,0.7615211943690176,0.8726518173756459
140,1,2,5,1,0.8643084486018106,0.9296819072144034
141,1,2,5,2,0.808985592473019,0.8994362637080068
142,1,2,5,3,0.8015050029039281,0.8952681178864397
143,1,2,5,4,0.8007554869315934,0.8948494213730003
144,1,2,5,5,0.7929741194787775,0.8904909429515707
145,1,2,5,6,0.7606511855747291,0.8721531892819799
146,1,2,5,7,0.7509878160469861,0.8665955319795885
147,1,2,5,8,0.7560761885540899,0.8695264162485749
148,1,2,5,9,0.7506842871505571,0.8664203870815582
149,1,2,5,10,0.7875969317885183,0.8874665806600935
150,1,2,6,1,0.830329710564875,0.9112242921283843
151,1,2,6,2,0.7872038942845822,0.887245115108887
152,1,2,6,3,0.7823592573701892,0.884510744632415
153,1,2,6,4,0.7824483794728303,0.8845611225194279
154,1,2,6,5,0.7738035388486917,0.8796610363365491
155,1,2,6,6,0.7443563518899796,0.862760889174967
156,1,2,6,7,0.7389736764176748,0.859635781257199
157,1,2,6,8,0.7390349270052673,0.8596714064136758
158,1,2,6,9,0.7357841044354404,0.8577785870697872
159,1,2,6,10,0.7733909270251536,0.8794264761906783
160,1,2,7,1,0.8416335503226391,0.9174058809069403
161,1,2,7,2,0.784989657733551,0.8859964208356323
162,1,2,7,3,0.7822563503380601,0.8844525709940924
163,1,2,7,4,0.7831666708468245,0.8849670450625969
164,1,2,7,5,0.7751649759087079,0.8804345381166665
165,1,2,7,6,0.7444392948322082,0.8628089561613325
166,1,2,7,7,0.7414873518050926,0.8610965984168633
167,1,2,7,8,0.7404590832813583,0.860499322069087
168,1,2,7,9,0.7363787373290085,0.8581251291793106
169,1,2,7,10,0.7728389052318225,0.8791125668717417
170,1,2,8,1,0.8204497248485066,0.9057867987824213
171,1,2,8,2,0.7750014070665352,0.880341642242678
172,1,2,8,3,0.7714379734210328,0.8783154179570303
173,1,2,8,4,0.7709041325090444,0.8780114649075172
174,1,2,8,5,0.7638780350564515,0.8740011642191625
